user_id,anime_id,rating
0,67,9
0,242,10
0,24,9
0,481,10
0,68,6
0,1250,7
0,356,9
0,121,9
0,1571,10
0,419,8
0,169,7
0,174,4
0,269,9
1,481,8
1,1575,10
1,1535,9
1,19,9
1,20,10
1,1735,10
1,154,8
1,22,9
1,269,7
2,22,9
2,1575,9
2,1535,10
2,226,8
2,15,9
2,71,8
2,263,10
2,270,9
2,1604,9
2,189,8
2,20,9
2,1735,9
3,849,8
3,1292,8
3,66,9
3,889,9
3,1519,9
3,1575,8
3,1,9
3,226,9
3,71,7
3,73,8
3,240,8
3,185,7
3,18,8
3,186,8
3,189,7
3,30,8
3,205,9
3,1195,7
4,101,8
4,104,8
4,530,7
4,68,7
4,150,9
4,1542,8
4,232,9
4,831,7
4,59,7
4,1575,10
4,61,7
4,1535,10
4,345,8
4,356,8
4,120,9
4,71,8
4,123,10
4,74,8
4,127,7
4,1571,9
4,16,9
4,1142,9
4,145,8
4,1579,9
4,146,6
4,690,7
4,189,7
4,149,7
4,435,8
4,273,7
4,158,6
4,334,8
4,853,9
4,907,7
4,1601,7
4,238,7
4,1699,9
4,957,8
4,561,7
4,355,5
4,100,7
4,849,8
4,182,8
4,1860,8
4,177,9
4,969,9
4,178,8
4,156,7
4,861,8
4,136,6
4,469,6
4,392,7
5,66,9
5,226,10
5,120,10
5,241,9
5,487,8
5,134,9
5,1261,7
5,877,10
5,325,8
5,24,10
5,846,10
5,79,8
5,269,8
5,934,6
6,150,7
6,249,7
6,1554,6
6,60,6
6,1575,8
6,1,6
6,1535,7
6,552,7
6,1313,7
6,1132,5
6,874,6
6,226,9
6,71,7
6,72,6
6,121,10
6,850,9
6,1852,7
6,934,10
6,1889,10
6,228,7
6,1594,8
6,143,10
6,1606,6
6,486,9
6,467,8
6,801,8
6,554,3
6,555,5
6,279,8
6,1810,6
6,149,9
6,276,6
6,273,4
6,158,8
6,323,9
6,20,5
6,30,8
6,527,7
6,907,8
6,64,6
6,65,7
6,849,10
6,916,5
6,1650,7
6,688,7
6,1607,7
6,553,9
6,481,4
6,1974,6
6,269,5
6,379,2
6,1579,2
6,738,5
6,1564,4
6,1565,3
6,1727,4
6,22,5
7,226,9
7,1195,8
7,1840,8
8,226,7
8,30,9
10,934,9
10,1889,9
11,857,9
11,57,10
11,1575,10
11,1482,10
11,1535,10
11,552,8
11,1313,8
11,263,9
11,1887,8
11,853,9
11,527,8
11,24,9
11,846,10
11,154,10
11,1559,10
11,269,9
11,1818,8
11,20,6
11,1050,5
12,873,10
12,48,10
12,1575,10
12,552,10
12,1313,10
12,223,10
12,813,10
12,356,10
12,121,10
12,237,10
12,20,10
12,1735,10
13,150,5
13,1575,10
13,120,8
13,1530,8
13,486,9
13,237,9
13,1810,8
13,1887,9
13,330,8
13,30,9
13,1210,6
13,1569,8
13,849,9
13,861,10
13,857,4
14,889,8
14,1519,9
14,1575,9
14,1,9
14,1482,7
14,1535,10
14,1726,8
14,226,8
14,121,8
14,270,7
14,33,9
14,250,8
14,30,10
15,223,10
15,225,5
15,72,7
15,527,10
15,341,6
15,482,7
15,392,8
16,167,8
16,857,7
16,68,7
16,1536,6
16,232,5
16,356,7
16,1157,6
16,71,6
16,74,5
16,132,7
16,133,5
16,249,7
16,516,6
16,1579,4
16,237,7
16,251,5
16,189,6
16,576,5
16,276,6
16,738,7
16,1722,6
16,20,7
16,195,5
16,1538,6
16,209,5
16,210,6
16,238,7
16,45,7
16,957,5
16,24,7
16,846,7
16,1557,6
16,170,6
16,152,7
16,177,6
16,969,7
16,479,6
16,861,7
16,28,5
16,392,6
16,1604,8
17,857,4
17,269,8
17,1050,10
17,59,7
17,1818,4
17,1575,9
17,1482,9
17,1535,8
17,1726,7
17,226,8
17,356,7
17,120,7
17,71,5
17,121,8
17,850,1
17,384,2
17,395,2
17,918,7
17,241,5
17,487,4
17,245,10
17,133,5
17,587,7
17,270,9
17,934,6
17,1889,7
17,257,3
17,143,1
17,1604,10
17,251,9
17,1887,10
17,877,7
17,20,7
17,1243,8
17,853,7
17,527,2
17,1564,1
17,1565,1
17,165,5
17,64,7
17,65,9
17,355,5
17,154,7
17,169,6
17,789,4
17,79,9
17,849,6
17,916,4
17,935,7
17,202,1
17,1195,10
17,1840,10
18,132,8
18,157,8
18,94,9
18,877,8
18,853,8
18,177,9
18,530,10
18,1535,10
18,813,10
18,121,10
18,145,10
18,435,10
18,93,10
18,392,9
18,1,8
18,1571,8
19,1292,5
19,586,9
19,66,8
19,1818,9
19,1575,10
19,1,8
19,226,8
19,790,10
19,71,7
19,73,7
19,72,8
19,384,9
19,395,8
19,245,9
19,587,6
19,934,7
19,1889,7
19,160,9
19,253,8
19,1530,10
19,33,9
19,486,8
19,330,8
19,323,7
19,457,10
19,1210,9
19,195,8
19,326,8
19,166,10
19,205,9
19,1827,8
19,169,7
19,849,8
19,6,8
19,339,4
19,387,6
20,552,10
20,20,7
20,1735,9
21,50,9
21,880,9
21,53,10
21,394,10
21,66,9
21,109,9
21,348,5
21,889,9
21,1519,9
21,232,8
21,1818,7
21,1575,10
21,61,9
21,1535,9
21,1726,9
21,226,10
21,356,8
21,1157,7
21,120,9
21,1281,9
21,1571,9
21,241,9
21,487,9
21,133,1
21,270,9
21,379,9
21,934,10
21,1889,10
21,257,6
21,940,8
21,228,9
21,1594,10
21,143,8
21,1530,10
21,469,8
21,667,8
21,274,9
21,52,8
21,412,7
21,189,9
21,193,7
21,576,7
21,157,10
21,76,10
21,77,10
21,98,9
21,99,9
21,860,9
21,335,8
21,330,9
21,624,7
21,323,7
21,1722,10
21,20,9
21,1546,8
21,30,8
21,1243,8
21,229,8
21,195,10
21,490,9
21,238,8
21,64,8
21,339,8
21,355,9
21,1559,10
21,169,7
21,1557,8
21,79,10
21,198,10
21,341,7
21,855,10
21,849,9
21,687,7
21,175,8
21,177,9
21,969,9
21,1607,8
21,861,9
21,481,8
21,1195,8
21,1840,8
21,48,5
21,269,8
21,74,4
21,147,5
21,1735,9
21,879,5
21,479,7
22,1,9
22,1251,9
22,218,9
22,1088,9
22,96,9
22,80,9
22,90,6
22,86,8
22,85,9
22,30,10
22,929,6
22,567,8
22,95,10
22,890,10
23,19,8
23,66,9
23,57,8
23,269,8
23,59,8
23,1818,8
23,1575,9
23,1,9
23,1535,10
23,287,8
23,263,9
23,135,8
23,185,8
23,186,7
23,33,10
23,1887,8
23,30,8
23,1538,7
23,45,7
23,1559,7
23,392,9
23,223,7
23,20,7
24,1533,9
24,740,8
27,1735,10
27,1535,5
27,121,8
27,245,9
27,934,7
27,1889,8
27,863,8
27,276,9
27,277,9
27,20,10
27,154,9
27,390,6
27,967,8
28,918,10
28,1565,8
28,1050,6
28,1575,10
28,1535,10
28,223,10
28,225,9
28,813,10
28,226,10
28,242,8
28,860,8
28,20,9
28,527,9
28,1564,10
28,419,8
28,482,9
28,189,8
28,270,4
28,153,4
28,250,7
28,1735,5
29,269,7
29,223,9
29,225,7
29,813,8
29,249,8
29,20,8
29,1735,7
29,849,8
29,392,9
30,857,6
30,109,7
30,1818,6
30,1575,8
30,1535,7
30,226,8
30,121,7
30,270,7
30,20,7
30,527,7
30,1564,7
30,1565,7
30,481,7
30,482,7
30,1735,7
32,269,8
32,918,10
32,934,9
32,30,10
32,228,8
32,20,10
32,270,10
33,269,7
33,1735,7
33,873,4
33,48,8
33,298,5
33,50,9
33,880,8
33,53,8
33,394,7
33,104,8
33,66,7
33,109,8
33,530,8
33,740,8
33,532,8
33,1239,4
33,150,8
33,232,8
33,59,7
33,60,8
33,63,6
33,356,8
33,120,9
33,71,7
33,72,6
33,121,9
33,456,7
33,249,8
33,143,8
33,1530,6
33,554,8
33,555,7
33,1887,7
33,193,6
33,157,7
33,76,7
33,77,8
33,98,8
33,99,8
33,158,8
33,20,7
33,1546,8
33,30,7
33,229,5
33,853,8
33,45,8
33,24,7
33,355,8
33,440,7
33,855,8
33,390,7
33,849,6
33,1372,8
33,1607,7
33,202,7
33,1195,6
33,303,5
34,1735,10
34,53,7
34,104,7
34,67,10
34,68,10
34,269,10
34,232,9
34,60,10
34,1575,9
34,1535,10
34,120,10
34,71,9
34,73,9
34,72,9
34,122,8
34,121,9
34,243,10
34,587,9
34,270,10
34,136,8
34,249,10
34,228,10
34,1594,9
34,145,7
34,469,10
34,52,6
34,1579,7
34,189,9
34,149,10
34,335,7
34,330,8
34,457,10
34,877,10
34,20,8
34,30,8
34,1569,7
34,853,9
34,322,6
34,210,10
34,64,10
34,65,10
34,45,10
34,166,10
34,205,10
34,355,8
34,100,9
34,152,9
34,849,10
34,696,7
34,6,8
34,969,10
34,861,10
34,392,10
34,1195,10
34,1840,10
34,530,5
